ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
Kf 0.002000 0.002287 StepDown 985.000000 985.273687
Kf 0.002000 0.006315 StepDown 970.000000 973.270353
Kf 0.002000 0.004391 StepDown 975.000000 978.271742
Kf 0.002000 0.017696 StepDown 965.000000 962.267296
Kf 0.002000 0.004206 StepDown 980.000000 978.271742
Kf 0.002000 0.002632 StepDown 985.000000 984.273409
Kf 0.002000 0.004757 StepDown 980.000000 977.271464
Kf 0.002000 0.019803 StepDown 960.000000 962.267296
Kf 0.002000 0.000272 StepDown 995.000000 997.277021
Kf 0.002000 0.017437 StepDown 965.000000 963.267574
Kf 0.002000 0.004721 StepDown 980.000000 977.271464
Kf 0.002000 0.009161 StepDown 970.000000 969.269241
Kf 0.002000 0.014304 StepDown 965.000000 964.267852
Kf 0.002000 0.011908 StepDown 965.000000 966.268408
Kf 0.002000 0.010475 StepDown 970.000000 967.268686
Kf 0.002000 0.011304 StepDown 965.000000 966.268408
Kf 0.002000 0.015047 StepDown 965.000000 963.267574
Kf 0.002000 0.013817 StepDown 965.000000 965.268130
Kf 0.002000 0.015754 StepDown 960.000000 963.267574
Kf 0.002000 0.002591 StepDown 985.000000 984.273409
Kf 0.002000 0.000406 StepDown 995.000000 996.276744
Kf 0.002000 0.001722 StepDown 990.000000 988.274521
Kf 0.002000 0.018272 StepDown 965.000000 961.267019
Kf 0.002000 0.005479 StepDown 975.000000 975.270909
Kf 0.002000 0.002721 StepDown 980.000000 984.273409
Kf 0.002000 0.010535 StepDown 970.000000 967.268686
Kf 0.002000 0.002859 StepDown 980.000000 983.273131
Kf 0.002000 0.003892 StepDown 980.000000 979.272020
Kf 0.002000 0.004377 StepDown 975.000000 978.271742
Kf 0.002000 0.013006 StepDown 965.000000 965.268130
Kf 0.002000 0.010235 StepDown 970.000000 967.268686
Kf 0.002000 0.015593 StepDown 960.000000 964.267852
Kf 0.002000 0.010851 StepDown 965.000000 966.268408
Kf 0.002000 0.013999 StepDown 965.000000 964.267852
Kf 0.002000 0.019210 StepDown 960.000000 961.267019
Kf 0.002000 0.000495 StepDown 1000.000000 996.276744
Kf 0.002000 0.015904 StepDown 960.000000 963.267574
Kf 0.002000 0.018195 StepDown 965.000000 962.267296
Kb 0.002300 0.020710 StepDown 240.000000 242.067241
Kb 0.002300 0.021113 StepDown 240.000000 240.066685
Kb 0.002300 0.006302 StepDown 430.000000 425.118088
Kb 0.002300 0.002351 StepDown 965.000000 967.268686
Kb 0.002300 0.012844 StepDown 285.000000 285.079189
Kb 0.002300 0.003590 StepDown 665.000000 663.184218
Kb 0.002300 0.008818 StepDown 345.000000 344.095582
Kb 0.002300 0.011883 StepDown 295.000000 295.081967
Kb 0.002300 0.000945 StepDown 1955.000000 1953.542651
Kb 0.002300 0.011757 StepDown 295.000000 297.082523
Kb 0.002300 0.020763 StepDown 240.000000 242.067241
Kb 0.002300 0.001145 StepDown 1755.000000 1752.486802
Kb 0.002300 0.008315 StepDown 360.000000 356.098916
Kb 0.002300 0.022864 StepDown 235.000000 236.065574
Kb 0.002300 0.022876 StepDown 235.000000 236.065574
Kb 0.002300 0.005347 StepDown 480.000000 479.133093
Kb 0.002300 0.021990 StepDown 235.000000 238.066129
Kb 0.002300 0.015941 StepDown 260.000000 262.072798
Kb 0.002300 0.007203 StepDown 390.000000 389.108086
Kb 0.002300 0.014594 StepDown 275.000000 271.075299
Kb 0.002300 0.020580 StepDown 245.000000 242.067241
Kb 0.002300 0.022955 StepDown 235.000000 236.065574
Kb 0.002300 0.004138 StepDown 585.000000 587.163101
Kb 0.002300 0.013163 StepDown 280.000000 282.078355
Kb 0.002300 0.009995 StepDown 325.000000 321.089191
Kb 0.002300 0.010328 StepDown 315.000000 316.087802
Kb 0.002300 0.017083 StepDown 255.000000 256.071131
Kb 0.002300 0.004733 StepDown 525.000000 527.146430
Kb 0.002300 0.021445 StepDown 240.000000 240.066685
Kb 0.002300 0.019215 StepDown 250.000000 247.068630
Kb 0.002300 0.008723 StepDown 345.000000 346.096138
Kb 0.002300 0.006838 StepDown 400.000000 402.111698
Kb 0.002300 0.020124 StepDown 245.000000 244.067797
Kb 0.002300 0.016954 StepDown 255.000000 257.071409
Kb 0.002300 0.007289 StepDown 390.000000 387.107530
Kb 0.002300 0.004917 StepDown 515.000000 512.142262
Kb 0.002300 0.014544 StepDown 275.000000 271.075299
Kb 0.002300 0.004263 StepDown 575.000000 574.159489
Kb 0.002300 0.011797 StepDown 295.000000 296.082245
Kb 0.002300 0.004965 StepDown 510.000000 507.140872
